,year,km_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price,brand_name,yn_new_price,loc_type
205,5,11.068246443685663,Diesel,1,First,15.73,1968.0,174.33,5.0,19.9,Audi,0,metro 1
206,6,11.238488619268468,Petrol,1,First,14.7,1798.0,177.5,5.0,10.0,Skoda,0,metro 1
207,6,11.55214617812351,Diesel,0,First,23.59,1364.0,67.06,5.0,3.0,Toyota,0,metro 1
208,10,10.645448706505872,Petrol,0,First,16.1,1240.47,77.88,5.0,2.11,Maruti,0,metro 1
209,6,10.525272986610377,Petrol,1,First,14.8,1595.0,120.7,5.0,11.96,Mercedes-Benz,0,emerging
210,7,10.714417768752456,Diesel,0,First,27.4,1498.0,98.6,5.0,3.25,Honda,1,metro 1
211,8,11.677057592563973,Diesel,0,Second,22.32,1582.0,126.32,5.0,4.75,Hyundai,0,emerging
212,6,10.308952660644293,Diesel,0,First,20.46,1461.0,83.8,5.0,5.95,Renault,0,metro 1
213,5,10.205701030833819,Petrol,0,Second,15.29,1591.0,121.3,5.0,8.15,Hyundai,0,metro 1
214,4,9.047821442478408,Petrol,1,First,20.51,998.0,67.0,5.0,4.22,Maruti,0,metro 1
215,10,10.325481962595504,Petrol,1,First,11.74,1796.0,186.0,5.0,10.5,Mercedes-Benz,0,metro 1
216,8,10.933106969717286,Diesel,1,First,11.8,2967.0,246.7,5.0,45.0,Audi,0,metro 1
217,8,10.691944912900398,Petrol,0,Second,19.81,1086.0,68.05,5.0,2.9,Hyundai,0,metro 2
218,3,9.259130536145614,Petrol,1,First,14.3,1598.0,103.52,5.0,8.9,Skoda,0,metro 1
219,3,10.165851817003619,Petrol,1,First,14.67,1798.0,177.46,5.0,26.0,Skoda,1,metro 2
220,2,10.133249156151914,Petrol,0,First,17.19,1197.0,81.86,5.0,8.22,Hyundai,0,emerging
221,6,11.06663836234181,Diesel,0,Second,25.8,1498.0,98.6,5.0,3.5,Honda,0,metro 1
222,16,11.018629143155449,Petrol,0,Second,18.9,998.0,67.1,5.0,1.25,Maruti,0,metro 1
223,7,11.580584113444043,Diesel,0,First,21.03,1461.0,65.0,5.0,3.7,Mahindra,1,metro 2
224,2,10.280587479087396,Diesel,1,First,19.27,2143.0,167.62,5.0,39.41,Mercedes-Benz,0,emerging
225,7,10.373491181781864,Petrol,0,First,22.5,998.0,67.04,5.0,2.65,Maruti,1,metro 1
226,5,10.740150490648064,Diesel,0,Second,19.01,1461.0,108.5,5.0,8.92,Nissan,0,emerging
227,7,10.757902880692196,Diesel,0,First,17.8,1248.0,77.88,5.0,4.1,Maruti,0,metro 1
228,3,10.17835030752565,Petrol,1,First,16.82,1998.0,189.08,4.0,35.67,Mini,1,emerging
229,5,11.162459775080668,Diesel,0,First,19.44,1498.0,99.0,5.0,3.6,Ford,0,metro 2
230,13,12.206072645530174,Diesel,0,Second,17.2,1396.0,53.5,5.0,0.85,Tata,0,emerging
231,4,11.015558860888394,Petrol,0,Second,18.6,1199.0,76.8,5.0,3.32,Chevrolet,0,emerging
232,8,10.714417768752456,Diesel,0,First,22.07,1199.0,73.9,5.0,3.6,Volkswagen,0,metro 1
233,4,11.06663836234181,Diesel,0,First,22.9,1248.0,74.0,5.0,6.8,Maruti,0,metro 2
234,8,10.628230294685824,Diesel,0,First,20.0,1399.0,68.05,5.0,2.5,Ford,0,metro 1
235,1,9.558529412264617,Diesel,1,First,11.36,2755.0,171.5,7.0,19.64,Toyota,1,emerging
236,9,11.112447898373103,Diesel,1,Second,11.72,2199.0,194.3,7.0,7.0,Hyundai,0,metro 1
237,9,10.391208302587023,Petrol,0,First,17.4,1497.0,117.3,5.0,3.87,Honda,1,metro 1
238,2,9.613135251528469,Petrol,0,First,18.6,1197.0,81.83,5.0,6.27,Hyundai,0,emerging
239,5,10.932749763069445,Diesel,1,First,19.27,2143.0,167.62,5.0,18.12,Mercedes-Benz,0,emerging
240,7,11.211820372186306,Diesel,0,First,25.44,936.0,57.6,5.0,2.65,Chevrolet,0,metro 1
241,5,10.948118727337723,Diesel,0,First,22.54,1396.0,88.73,5.0,7.2,Hyundai,0,emerging
242,5,11.706631966630747,Diesel,0,First,12.99,2494.0,100.6,7.0,14.3,Toyota,0,emerging
243,7,10.858998997563564,Diesel,0,First,20.77,1248.0,88.76,7.0,6.9,Maruti,0,metro 1
244,6,11.678439903447801,Diesel,0,First,12.8,2494.0,102.0,7.0,10.75,Toyota,0,metro 1
245,13,11.184421397998193,Petrol,0,Third,17.0,1086.0,62.28,5.0,0.95,Hyundai,0,metro 1
246,4,10.43161267338018,Petrol,0,First,17.8,1497.0,117.3,5.0,8.09,Honda,0,emerging
247,6,11.314498916192855,Diesel,1,First,17.05,1995.0,184.0,5.0,18.5,BMW,0,metro 2
248,3,10.404262840448617,Diesel,0,First,24.0,1120.0,70.0,5.0,4.75,Hyundai,0,metro 1
249,4,10.4341158035983,Diesel,0,First,28.09,1248.0,88.5,5.0,8.45,Maruti,0,metro 1
250,8,10.915088464214607,Diesel,0,First,20.5,1598.0,103.6,5.0,3.5,Skoda,0,metro 1
251,14,11.986285953653564,Diesel,0,First,13.1,1493.0,82.0,5.0,1.8,Hyundai,0,emerging
252,6,11.002099841204238,Diesel,0,Second,19.91,1498.0,103.6,5.0,3.7,Volkswagen,0,emerging
253,3,10.811241953387997,Petrol,0,First,18.7,1199.0,88.7,5.0,7.17,Honda,0,emerging
254,10,11.326595886778735,Petrol,0,First,19.81,1086.0,68.05,5.0,1.75,Hyundai,0,emerging
255,2,10.846342315535834,Diesel,1,First,16.38,1995.0,183.0,5.0,21.99,Hyundai,0,emerging
